aroma,body,flavor,roast_level,origin,est_price,rating
,9.0,9.0,Medium-Light,"Guji Zone, Oromia Region, southern Ethiopia",NT $370/8 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Sidamo growing region, southern Ethiopia",NT $350/8 ounces,95.0
9.0,9.0,10.0,Light,"Sidamo growing region, southern Ethiopia",NT $280/4 ounces,96.0
9.0,9.0,10.0,Light,"Guji Zone, Oromia Region, southern Ethiopia",NT $480/8 ounces,97.0
9.0,9.0,9.0,Medium-Light,"Chimaltenango Department, Guatemala",$26.00/6 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Bule Hora, Guji Zone, Ethiopia",$28.00/250 grams,93.0
9.0,9.0,9.0,Medium-Light,"Holualoa, North Kona growing district, Hawai’i Island",$199.95/8 ounces,95.0
10.0,9.0,10.0,Medium-Light,"Holualoa, North Kona growing district, Hawai’i Island",$169.95/8 ounces,97.0
9.0,8.0,9.0,Light,"Primavera, Planadas, Tolima Department, Colombia",$56.00/4 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Gimbo, Kaffa Province, Ethiopia",NT $550/227 grams,95.0
9.0,9.0,9.0,Medium-Light,"El Bálsamo Quetzaltepec, El Salvador",$26.00/11 ounces,95.0
8.0,8.0,9.0,Medium-Light,"Antigua Guatemala, Sacatepéquez, Guatemala",$8.50/12 ounces,91.0
8.0,9.0,9.0,Medium-Dark,"Antigua Guatemala, Sacatepéquez, Guatemala",$8.50/12 ounces,92.0
9.0,8.0,9.0,Medium-Light,"San Lucas Tolimán, Sololá, Guatemala",$16.00/12 ounces,92.0
8.0,9.0,9.0,Medium-Light,"Antigua Guatemala, Sacatepéquez, Guatemala",$20.00/12 ounces,92.0
9.0,8.0,9.0,Medium-Light,"San Antonio La Paz, El Progreso Department, Guatemala",$24.00/12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Antigua Guatemala, Sacatepéquez, Guatemala",$20.00/12 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Antigua Guatemala, Sacatepéquez, Guatemala",$24.00/12 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Antigua Guatemala, Sacatepéquez, Guatemala",$20.00/12 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Huehuetenango Department, Guatemala",$47.00/12 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Antigua Guatemala, Sacatepéquez, Guatemala",$25.00/12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Antigua Guatemala, Sacatepéquez, Guatemala",$20.00/12 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Antigua Guatemala, Sacatepéquez, Guatemala",$20.00/12 ounces,94.0
9.0,8.0,9.0,Medium-Light,"Huehuetenango Department, Guatemala",$25.00/12 ounces,94.0
8.0,9.0,9.0,Medium-Light,"Gedeb District, Gedeo Zone, Yirgacheffe, Ethiopia",$23.00/12 ounces,92.0
9.0,9.0,10.0,Medium-Light,"Karatu District, Arusha Region, Tanzania",$50.00/12 ounces,96.0
8.0,8.0,8.0,Medium,Central America; South America,$17.95/12 ounce,90.0
8.0,8.0,9.0,Medium,Central America; South America,$17.95/12 ounces,92.0
9.0,9.0,10.0,Light,"Piendamó, Cauca Department, Colombia",$30.00/8 ounces,96.0
8.0,8.0,8.0,Light,"Guatemala, Colombia, Ethiopia, Kenya, Brazil",$15.00/8 ounces,90.0
9.0,8.0,9.0,Medium,Guatemala; Colombia; Ethiopia; India; Brazil,$15.00/8 ounces,94.0
8.0,9.0,9.0,Light,"Muranga’a, Embu County, Kenya",NT $580/227 grams,93.0
8.0,9.0,9.0,Medium,Brazil; Colombia; Ethiopia,$18.50/12 ounces,91.0
8.0,8.0,9.0,Medium,Not disclosed,$19.00/12 ounces,92.0
9.0,9.0,9.0,Light,"Vereda Santa Rita, Manizales, Caldas, Colombia",$25.00/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"San Ignacio, Cajamarca Department, Peru",$24.00/8 ounces,95.0
9.0,9.0,10.0,Medium-Light,"Piendamo, Cauca Department, Colombia",$35.00/8 ounces,96.0
8.0,8.0,8.0,Medium,Indonesia; Brazil; Ethiopia,NT $350/8 ounces,90.0
9.0,9.0,9.0,Light,"Yirgacheffe growing region, south-central Ethiopia",NT $400/8 ounces,93.0
9.0,8.0,9.0,Light,"Yirgacheffe growing region, south-central Ethiopia",NT $690/227 grams,94.0
9.0,9.0,9.0,Light,"Huila Department, Colombia",$24.00/5 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Alajuela, Central Valley, Costa Rica",$28.00/12 ounces,93.0
8.0,9.0,9.0,Medium-Light,"Sabanilla de Alajuela growing region, Central Valley, Costa Rica",$27.99/16 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Coto Brus, Brunca, Costa Rica",$24.00/12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Tarrazú, Costa Rica",$51.50/12 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Tarrazú, Costa Rica",NT $680/225 grams,94.0
9.0,9.0,9.0,Light,"Tarrazú, Costa Rica","NT $2,000/8 ounces",94.0
9.0,9.0,9.0,Medium-Light,"Tarrazú, Costa Rica",NT $550/225 grams,94.0
9.0,9.0,9.0,Light,"Sabanilla de Alajuela growing region, Central Valley, Costa Rica",$30.00/12 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Tarrazú, Costa Rica",NT $550/227 grams,95.0
9.0,9.0,10.0,Medium-Light,"Tarrazú, Costa Rica",NT $680/200 grams,96.0
9.0,9.0,9.0,Light,"Yirgacheffe growing region, south-central Ethiopia",$24.00/12 ounces,93.0
8.0,9.0,9.0,Medium-Light,Not disclosed,$15.95/12 ounces,90.0
9.0,8.0,8.0,Medium-Dark,Not disclosed,$14.95/12 ounces,90.0
9.0,9.0,9.0,Medium,Not disclosed,$15.95/12 ounces,91.0
8.0,9.0,9.0,Medium-Light,"Tarrazú, Costa Rica",$16.00/12 ounces,92.0
9.0,9.0,9.0,Medium,Not disclosed,$16.95/12 ounces,93.0
9.0,9.0,9.0,Light,"Gaitania, Tolima Department, Colombia",$22.00/12 ounces,93.0
9.0,9.0,9.0,Light,"Sidamo growing region, southern Ethiopia",NT $400/200 grams,94.0
9.0,9.0,9.0,Medium-Light,Ethiopia; Indonesia; Brazil,NT $420/454 grams,94.0
,9.0,9.0,Light,"Nariño Department, Colombia",NT $500/200 grams,95.0
9.0,9.0,9.0,Medium-Light,"Huehuetenango Department, Guatemala",NT $469/8 ounces,93.0
9.0,9.0,9.0,Light,"Huehuetenango Department, Guatemala",$25.00/12 ounces,93.0
9.0,8.0,9.0,Medium-Light,Colombia; Ethiopia,NT $439/8 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Aceh Province, Sumatra, Indonesia",$25.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Gedeb District, Gedeo Zone, southern Ethiopia",$25.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Bench-Maji Zone, southern Ethiopia",NT $469/8 ounces,94.0
9.0,9.0,9.0,Light,"Karatu District, Arusha Region, Tanzania.",$25.00/12 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Yirgacheffe growing region, south-central Ethiopia",$25.00/12 ounces,95.0
8.0,8.0,8.0,Medium-Light,"Elephant Island, South Africa",$216.00/125 grams,89.0
8.0,8.0,9.0,Medium-Light,Ethiopia,HK $150/100 grams,92.0
9.0,8.0,9.0,Medium-Light,Guatemala; El Salvador; Colombia; Mexico,HK $150/100 grams,93.0
9.0,9.0,10.0,Medium-Light,"Cañas Verdes, Boquete, Panama","NT $2,925/100 grams",96.0
9.0,8.0,9.0,Medium-Light,"Santa Bárbara, Antioquia Department, Colombia",$24.50/8 ounces,94.0
9.0,9.0,9.0,Light,"Piendamó, Cauca Department, Colombia",$25.00/8 ounces,95.0
10.0,9.0,10.0,Light,"Las Toldas, Huila Department, Colombia",$25.00/8 ounces,98.0
8.0,8.0,9.0,Dark,Not disclosed,$73.95/5 pounds,91.0
9.0,8.0,9.0,Medium,Not disclosed,$14.95/12 ounces,92.0
9.0,9.0,9.0,Light,"Guji growing region, south-central Ethiopia",NT $500/227 grams,94.0
9.0,9.0,9.0,Light,"Cañas Verdes, Boquete, Panama",NT $2150/50 grams,95.0
9.0,9.0,9.0,Light,"Guji Zone, Oromia Region, Ethiopia",NT $500/227 grams,95.0
8.0,9.0,9.0,Light,"Western Highlands, Papua New Guinea",$32.00/12 ounces,93.0
9.0,9.0,9.0,Light,"Sidamo growing region, south-central Ethiopia",$26.00/12 ounces,93.0
9.0,9.0,10.0,Medium-Light,"Ka‘ū growing region, Hawai’i Island",$200.00/4 ounces,96.0
8.0,9.0,8.0,Medium-Light,India; Brazil; Ethiopia,NT $450/450 grams,92.0
8.0,9.0,9.0,Light,"West Arsi, Oromia Region, southern Ethiopia",NT $550/225 grams,93.0
9.0,9.0,9.0,Medium-Light,"Kirinyaga County, Kenya",$10.00/4 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Captain Cook, Kona District, Hawai’i Island, Hawai’i",$30.00/4 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Aceh Province, Sumatra, Indonesia",$24.00/10.9 ounces,93.0
8.0,9.0,9.0,Medium-Light,"Yirgacheffe growing region, south-central Ethiopia",NT $329/8 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Planadas, Tolima Department, Colombia",NT $429/8 ounces,93.0
8.0,9.0,9.0,Medium-Light,"Oaxaca, Mexico",$22.00/10.9 ounces,91.0
8.0,9.0,9.0,Medium-Light,"Quetzaltenango, San Marcos, Huehuetenango, Quiche, Solola and Chimaltenango, Guatemala",$22.00/10.9 ounces,92.0
9.0,8.0,9.0,Medium-Light,"Huila Department, Colombia",$22.00/10.9 ounces,93.0
9.0,9.0,9.0,Light,"Sidamo growing region, southern Ethiopia",$26.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Gedeb District, Gedeo Zone, southern Ethiopia",$26.00/12 ounces,95.0
9.0,9.0,9.0,Light,"Sidamo growing region, southern Ethiopia",$10.00/4 ounces,94.0
9.0,9.0,9.0,Light,"Sidamo growing region, southern Ethiopia",$10.00/4 ounces,95.0
9.0,9.0,9.0,Medium-Light,Panama; Colombia; Guatemala; Costa Rica; Ethiopia,$17.00/8 ounces,96.0
